Description,2017,2018,2019,2020,2021,2022,state,county
Chain-type quantity indexes for real GDP ,100.000,93.134,97.050,92.191,95.042,89.562,West Virginia,Clay
Current-dollar GDP (thousands of current dollars) ,130668,125605,133260,129796,141620,143263,West Virginia,Clay
Real GDP (thousands of chained 2017 dollars) ,697097,607779,640961,724800,588940,500087,West Virginia,Doddridge
Chain-type quantity indexes for real GDP ,100.000,87.187,91.947,103.974,84.485,71.739,West Virginia,Doddridge
Current-dollar GDP (thousands of current dollars) ,697097,720438,609844,491051,777108,1035511,West Virginia,Doddridge
Real GDP (thousands of chained 2017 dollars) ,1082047,1080764,1089244,984893,1007469,1107199,West Virginia,Fayette
Chain-type quantity indexes for real GDP ,100.000,99.881,100.665,91.021,93.108,102.324,West Virginia,Fayette
Current-dollar GDP (thousands of current dollars) ,1082047,1114027,1142274,1048011,1148070,1356227,West Virginia,Fayette
Real GDP (thousands of chained 2017 dollars) ,179898,177796,178005,177620,175054,166408,West Virginia,Gilmer
Chain-type quantity indexes for real GDP ,100.000,98.831,98.948,98.734,97.307,92.501,West Virginia,Gilmer
Current-dollar GDP (thousands of current dollars) ,179898,183709,184327,183023,200342,211767,West Virginia,Gilmer
Real GDP (thousands of chained 2017 dollars) ,504028,462805,441218,465939,460276,445441,West Virginia,Grant
Chain-type quantity indexes for real GDP ,100.000,91.821,87.539,92.443,91.320,88.376,West Virginia,Grant
Current-dollar GDP (thousands of current dollars) ,504028,477764,464776,496487,542929,576800,West Virginia,Grant
Real GDP (thousands of chained 2017 dollars) ,1179223,1203264,1193985,1147456,1153527,1115659,West Virginia,Greenbrier
Chain-type quantity indexes for real GDP ,100.000,102.039,101.252,97.306,97.821,94.610,West Virginia,Greenbrier
Current-dollar GDP (thousands of current dollars) ,1179223,1233245,1249769,1221447,1299672,1352004,West Virginia,Greenbrier
Real GDP (thousands of chained 2017 dollars) ,430590,436655,447053,442429,450068,457427,West Virginia,Hampshire
Chain-type quantity indexes for real GDP ,100.000,101.409,103.823,102.750,104.524,106.233,West Virginia,Hampshire
Current-dollar GDP (thousands of current dollars) ,430590,448298,471050,479945,509276,550945,West Virginia,Hampshire
Real GDP (thousands of chained 2017 dollars) ,1078354,1040016,1045699,997805,955697,964192,West Virginia,Hancock
Chain-type quantity indexes for real GDP ,100.000,96.445,96.972,92.530,88.626,89.413,West Virginia,Hancock
Current-dollar GDP (thousands of current dollars) ,1078354,1126343,1099738,976785,1082827,1240446,West Virginia,Hancock
Real GDP (thousands of chained 2017 dollars) ,505969,533931,565412,560423,614500,631107,West Virginia,Hardy
Chain-type quantity indexes for real GDP ,100.000,105.527,111.748,110.763,121.450,124.733,West Virginia,Hardy
Current-dollar GDP (thousands of current dollars) ,505969,539285,584083,603979,738747,807787,West Virginia,Hardy
Real GDP (thousands of chained 2017 dollars) ,4215792,4500870,4442523,4272559,4343812,4333795,West Virginia,Harrison
Chain-type quantity indexes for real GDP ,100.000,106.762,105.378,101.347,103.037,102.799,West Virginia,Harrison
Current-dollar GDP (thousands of current dollars) ,4215792,4632835,4622635,4431291,4983458,5565573,West Virginia,Harrison
Real GDP (thousands of chained 2017 dollars) ,841256,1518765,995296,902083,802342,795376,West Virginia,Jackson
Chain-type quantity indexes for real GDP ,100.000,180.535,118.311,107.231,95.374,94.546,West Virginia,Jackson
Current-dollar GDP (thousands of current dollars) ,841256,1582800,1045360,929395,910503,965610,West Virginia,Jackson
Real GDP (thousands of chained 2017 dollars) ,1727463,1797502,1844908,1749447,1883138,1862402,West Virginia,Jefferson
Chain-type quantity indexes for real GDP ,100.000,104.054,106.799,101.273,109.012,107.811,West Virginia,Jefferson
Current-dollar GDP (thousands of current dollars) ,1727463,1840588,1937139,1871215,2091289,2201712,West Virginia,Jefferson
Real GDP (thousands of chained 2017 dollars) ,10880397,10967520,10852764,10235639,10632536,10762317,West Virginia,Kanawha
Chain-type quantity indexes for real GDP ,100.000,100.801,99.746,94.074,97.722,98.915,West Virginia,Kanawha
Current-dollar GDP (thousands of current dollars) ,10880397,11212646,11309823,10934637,11822877,12661255,West Virginia,Kanawha
Real GDP (thousands of chained 2017 dollars) ,628223,716967,699520,556563,535727,520858,West Virginia,Lewis
Chain-type quantity indexes for real GDP ,100.000,114.126,111.349,88.593,85.277,82.910,West Virginia,Lewis
Current-dollar GDP (thousands of current dollars) ,628223,729721,722104,570821,597757,646391,West Virginia,Lewis
Real GDP (thousands of chained 2017 dollars) ,289629,248045,250201,229712,245155,235828,West Virginia,Lincoln
Chain-type quantity indexes for real GDP ,100.000,85.642,86.387,79.313,84.645,81.424,West Virginia,Lincoln
Current-dollar GDP (thousands of current dollars) ,289629,257285,261119,242288,278023,291097,West Virginia,Lincoln
Real GDP (thousands of chained 2017 dollars) ,1193370,1270844,1286797,1116705,1212817,1397203,West Virginia,Logan
Chain-type quantity indexes for real GDP ,100.000,106.492,107.829,93.576,101.630,117.080,West Virginia,Logan
Current-dollar GDP (thousands of current dollars) ,1193370,1308400,1345567,1186857,1419051,1819565,West Virginia,Logan
Real GDP (thousands of chained 2017 dollars) ,566763,551438,570664,521347,489989,531552,West Virginia,McDowell
Chain-type quantity indexes for real GDP ,100.000,97.296,100.688,91.987,86.454,93.787,West Virginia,McDowell
Current-dollar GDP (thousands of current dollars) ,566763,567990,594413,545292,564853,685719,West Virginia,McDowell
Real GDP (thousands of chained 2017 dollars) ,2267248,2242400,2299842,1945613,2033784,2168076,West Virginia,Marion
Chain-type quantity indexes for real GDP ,100.000,98.904,101.438,85.814,89.703,95.626,West Virginia,Marion
Current-dollar GDP (thousands of current dollars) ,2267248,2307244,2395017,2044128,2321030,2729192,West Virginia,Marion
Real GDP (thousands of chained 2017 dollars) ,2439888,2685224,2635713,2528704,2508763,2593250,West Virginia,Marshall
Chain-type quantity indexes for real GDP ,100.000,110.055,108.026,103.640,102.823,106.286,West Virginia,Marshall
Current-dollar GDP (thousands of current dollars) ,2439888,2819768,2698691,2381126,3220314,4262507,West Virginia,Marshall
Real GDP (thousands of chained 2017 dollars) ,745991,723952,802584,762840,777909,693364,West Virginia,Mason
Chain-type quantity indexes for real GDP ,100.000,97.046,107.586,102.259,104.279,92.945,West Virginia,Mason
Current-dollar GDP (thousands of current dollars) ,745991,745749,842875,798066,901855,885941,West Virginia,Mason
Real GDP (thousands of chained 2017 dollars) ,1730135,1712039,1734188,1638973,1680730,1700038,West Virginia,Mercer
Chain-type quantity indexes for real GDP ,100.000,98.954,100.234,94.731,97.144,98.260,West Virginia,Mercer
Current-dollar GDP (thousands of current dollars) ,1730135,1748870,1815949,1771519,1912000,2066269,West Virginia,Mercer
Real GDP (thousands of chained 2017 dollars) ,721744,759822,800726,876934,916583,958033,West Virginia,Mineral
Chain-type quantity indexes for real GDP ,100.000,105.276,110.943,121.502,126.996,132.739,West Virginia,Mineral
Current-dollar GDP (thousands of current dollars) ,721744,772446,830766,935008,1000338,1095056,West Virginia,Mineral
Real GDP (thousands of chained 2017 dollars) ,705413,714668,659924,493891,438291,520422,West Virginia,Mingo
Chain-type quantity indexes for real GDP ,100.000,101.312,93.551,70.014,62.133,73.775,West Virginia,Mingo
Current-dollar GDP (thousands of current dollars) ,705413,737865,690048,521075,505682,666525,West Virginia,Mingo
Real GDP (thousands of chained 2017 dollars) ,7077561,7122923,6897980,6849447,7145092,7181398,West Virginia,Monongalia
Chain-type quantity indexes for real GDP ,100.000,100.641,97.463,96.777,100.954,101.467,West Virginia,Monongalia
Current-dollar GDP (thousands of current dollars) ,7077561,7291476,7176356,7230232,8067455,8747573,West Virginia,Monongalia
Real GDP (thousands of chained 2017 dollars) ,205871,180351,190989,202336,211059,211057,West Virginia,Monroe
Chain-type quantity indexes for real GDP ,100.000,87.604,92.771,98.283,102.520,102.519,West Virginia,Monroe
Current-dollar GDP (thousands of current dollars) ,205871,184532,200260,218588,236188,249219,West Virginia,Monroe
Real GDP (thousands of chained 2017 dollars) ,323968,340284,352562,328092,340749,333730,West Virginia,Morgan
Chain-type quantity indexes for real GDP ,100.000,105.036,108.826,101.273,105.180,103.013,West Virginia,Morgan
Current-dollar GDP (thousands of current dollars) ,323968,348729,371291,355749,385360,401738,West Virginia,Morgan
Real GDP (thousands of chained 2017 dollars) ,629857,639952,638608,636189,617665,640028,West Virginia,Nicholas
Chain-type quantity indexes for real GDP ,100.000,101.603,101.389,101.005,98.064,101.615,West Virginia,Nicholas
Current-dollar GDP (thousands of current dollars) ,629857,655720,667623,684208,716624,807966,West Virginia,Nicholas
Real GDP (thousands of chained 2017 dollars) ,3772149,3826611,3704214,3433940,3473649,3589091,West Virginia,Ohio
Chain-type quantity indexes for real GDP ,100.000,101.444,98.199,91.034,92.087,95.147,West Virginia,Ohio
Current-dollar GDP (thousands of current dollars) ,3772149,3942009,3869185,3566500,4021388,4687041,West Virginia,Ohio
Real GDP (thousands of chained 2017 dollars) ,174749,141958,150538,145515,157421,184863,West Virginia,Pendleton
Chain-type quantity indexes for real GDP ,100.000,81.235,86.146,83.271,90.084,105.788,West Virginia,Pendleton
Current-dollar GDP (thousands of current dollars) ,174749,145393,157755,156507,182317,237734,West Virginia,Pendleton
Real GDP (thousands of chained 2017 dollars) ,552322,541356,482830,468312,517629,551594,West Virginia,Pleasants
Chain-type quantity indexes for real GDP ,100.000,98.015,87.418,84.790,93.719,99.868,West Virginia,Pleasants
Current-dollar GDP (thousands of current dollars) ,552322,562035,505419,484497,615181,759151,West Virginia,Pleasants
Real GDP (thousands of chained 2017 dollars) ,275874,266851,276749,279695,275643,266493,West Virginia,Pocahontas
Chain-type quantity indexes for real GDP ,100.000,96.729,100.317,101.385,99.916,96.599,West Virginia,Pocahontas
Current-dollar GDP (thousands of current dollars) ,275874,275490,292078,298805,313343,327472,West Virginia,Pocahontas
Real GDP (thousands of chained 2017 dollars) ,769425,789954,763634,744557,774182,747062,West Virginia,Preston
Chain-type quantity indexes for real GDP ,100.000,102.668,99.247,96.768,100.618,97.094,West Virginia,Preston
Current-dollar GDP (thousands of current dollars) ,769425,812019,805515,807868,878854,909215,West Virginia,Preston
Real GDP (thousands of chained 2017 dollars) ,2770280,3038345,2930986,2815268,2817163,2900856,West Virginia,Putnam
Chain-type quantity indexes for real GDP ,100.000,109.676,105.801,101.624,101.692,104.713,West Virginia,Putnam
Current-dollar GDP (thousands of current dollars) ,2770280,3086649,3039943,2961031,3044956,3338962,West Virginia,Putnam
Real GDP (thousands of chained 2017 dollars) ,2908065,2984299,3095818,2933349,3016084,3130413,West Virginia,Raleigh
Chain-type quantity indexes for real GDP ,100.000,102.621,106.456,100.869,103.714,107.646,West Virginia,Raleigh
Current-dollar GDP (thousands of current dollars) ,2908065,3051838,3234013,3133024,3421303,3830818,West Virginia,Raleigh
Real GDP (thousands of chained 2017 dollars) ,890604,911496,932430,893456,879749,844922,West Virginia,Randolph
Chain-type quantity indexes for real GDP ,100.000,102.346,104.696,100.320,98.781,94.871,West Virginia,Randolph
Current-dollar GDP (thousands of current dollars) ,890604,935987,977301,964607,1027769,1059962,West Virginia,Randolph
Real GDP (thousands of chained 2017 dollars) ,574948,580058,645875,687729,612218,550187,West Virginia,Ritchie
Chain-type quantity indexes for real GDP ,100.000,100.889,112.336,119.616,106.482,95.693,West Virginia,Ritchie
Current-dollar GDP (thousands of current dollars) ,574948,633060,626026,537297,719947,903349,West Virginia,Ritchie
Real GDP (thousands of chained 2017 dollars) ,284583,300416,303855,299404,289114,285428,West Virginia,Roane
Chain-type quantity indexes for real GDP ,100.000,105.564,106.772,105.208,101.592,100.297,West Virginia,Roane
Current-dollar GDP (thousands of current dollars) ,284583,305527,313800,312535,318269,342177,West Virginia,Roane
Real GDP (thousands of chained 2017 dollars) ,213591,205088,213575,213169,210441,210793,West Virginia,Summers
Chain-type quantity indexes for real GDP ,100.000,96.019,99.992,99.802,98.525,98.690,West Virginia,Summers
Current-dollar GDP (thousands of current dollars) ,213591,210182,225466,231927,237951,253675,West Virginia,Summers
Real GDP (thousands of chained 2017 dollars) ,483546,479246,522138,561456,532027,590102,West Virginia,Taylor
Chain-type quantity indexes for real GDP ,100.000,99.111,107.981,116.112,110.026,122.036,West Virginia,Taylor
Current-dollar GDP (thousands of current dollars) ,483546,500344,544062,582931,631945,805424,West Virginia,Taylor
Real GDP (thousands of chained 2017 dollars) ,323592,322654,310297,308129,297823,328967,West Virginia,Tucker
Chain-type quantity indexes for real GDP ,100.000,99.710,95.891,95.221,92.037,101.661,West Virginia,Tucker
Current-dollar GDP (thousands of current dollars) ,323592,331981,324808,326974,347283,421858,West Virginia,Tucker
Real GDP (thousands of chained 2017 dollars) ,593402,604377,756147,1038468,1158360,1036490,West Virginia,Tyler
Chain-type quantity indexes for real GDP ,100.000,101.850,127.426,175.002,195.207,174.669,West Virginia,Tyler
Current-dollar GDP (thousands of current dollars) ,593402,679731,716729,705219,1626877,2307355,West Virginia,Tyler
Real GDP (thousands of chained 2017 dollars) ,732210,711525,740446,710665,712245,689916,West Virginia,Upshur
Chain-type quantity indexes for real GDP ,100.000,97.175,101.125,97.058,97.273,94.224,West Virginia,Upshur
Current-dollar GDP (thousands of current dollars) ,732210,733333,773705,750765,828245,873277,West Virginia,Upshur
Real GDP (thousands of chained 2017 dollars) ,977965,1027094,1031292,950520,969146,989347,West Virginia,Wayne
Chain-type quantity indexes for real GDP ,100.000,105.024,105.453,97.194,99.098,101.164,West Virginia,Wayne
Current-dollar GDP (thousands of current dollars) ,977965,1058594,1083960,1012971,1081245,1188723,West Virginia,Wayne
Real GDP (thousands of chained 2017 dollars) ,151718,152428,158131,152617,140546,137784,West Virginia,Webster
Chain-type quantity indexes for real GDP ,100.000,100.468,104.227,100.592,92.636,90.816,West Virginia,Webster
Current-dollar GDP (thousands of current dollars) ,151718,157404,166572,166242,164228,172308,West Virginia,Webster
Real GDP (thousands of chained 2017 dollars) ,613907,546089,583659,842772,866692,977745,West Virginia,Wetzel
Chain-type quantity indexes for real GDP ,100.000,88.953,95.073,137.280,141.176,159.266,West Virginia,Wetzel
Current-dollar GDP (thousands of current dollars) ,613907,606522,583117,734244,1062867,1556930,West Virginia,Wetzel
Real GDP (thousands of chained 2017 dollars) ,66874,71476,65185,63917,85587,69663,West Virginia,Wirt
